tmdb_id,title,show_name,rating,tmdb_rating_processed,release_year,release_month,cast,Plot Summary
2553141,Lost / Found,The Acolyte,5.474,2.737,2024,06,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 3}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 2}]","In the final days of the High Republic era, a respected Jedi Master investigates a shocking series of crimes. The investigation leads him into conflict with a dangerous female warrior from his past, who is revealed to be a Force-sensitive acolyte training in the ways of the dark side. The episode sets the stage for a larger mystery involving the rise of dark side forces and the potential corruption within the Jedi Order.
"
5220947,Revenge / Justice,The Acolyte,5.121,2.5605,2024,06,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 3}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 2}]","In the second episode of The Acolyte, Mae, the Jedi-hunting assassin, continues her mission, this time targeting a respected Jedi Master. As the Jedi investigate the initial murder, they grapple with the unexpected attack and the possibility that a Jedi Knight might be involved, further complicating their pursuit of Mae and raising suspicions within the Jedi Order. Jecki, a wise and devout Jedi Master, helps Osha figure out the truth about her past.
"
5220954,Destiny,The Acolyte,4.021,2.0105,2024,06,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 3}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 2}]","In Star Wars: The Acolyte, Season 1, Episode 3, Osha and Mae, two former Padawans now on opposite sides of the law, continue their complex dance. The episode delves deeper into their shared past and the tragic event that separated them from the Jedi Order, revealing more details about what happened on their home planet. We see flashbacks that provide context for their current motivations and relationships, particularly the bond they shared and the powerful Force connection between them. Meanwhile, the Jedi continue their investigation into the Jedi killings, struggling to understand the motivations of the mysterious assailant.
"
5220955,Day,The Acolyte,4.451,2.2255,2024,06,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 3}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 2}]","In ""Star Wars: The Acolyte"" Season 1 Episode 4, the investigation into the Jedi Master's death deepens as the remaining Jedi travel to the planet of Brendok. Here, they hope to unravel Mae's past and discover the true master she is serving. Their investigation leads them to a hidden village and uncovers secrets about Mae's upbringing and the tragic events that shaped her path to the dark side, revealing a much larger, more complex plot.
"
5220956,Night,The Acolyte,5.135,2.5675,2024,06,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 3}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 2}]","In *Star Wars: The Acolyte, Season 1, Episode 5*, tensions escalate as the Jedi continue to investigate the mysterious murders targeting their own. The episode delves deeper into the connection between Mae, Osha, and their past, potentially revealing more about the circumstances surrounding the tragic event that fractured their lives. The Jedi's pursuit of Mae leads them to confront new dangers and challenging moral dilemmas, blurring the lines between light and dark and forcing them to question their understanding of the Force.
"
5220957,Teach / Corrupt,The Acolyte,4.133,2.0665,2024,06,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 3}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 2}]","In ""Star Wars: The Acolyte"" Season 1, Episode 6, the narrative likely delves deeper into the mysteries surrounding the Jedi and the Sith through flashbacks, revealing details about Osha and Mae's past within a hidden coven of Force users. This coven is shown to have been destroyed by a lone Jedi that Mae seeks to hunt. 
"
5220958,Choice,The Acolyte,4.3,2.15,2024,06,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 3}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 2}]","With only a few Jedi Masters left, Osha and Mae must figure out their next moves. The Jedi Council is divided about their plan of action, and Master Sol is forced to make a difficult decision. Mae confronts her master, revealing a new truth.
"
5220959,The Acolyte,The Acolyte,4.486,2.243,2024,06,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 3}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 2}]","In the season finale of ""Star Wars: The Acolyte"", Osha and Mae finally confront Mother Aniseya, revealing the dark secrets of their past and the circumstances surrounding the tragic night that tore them apart. The confrontation leads to a battle of wills and lightsabers, forcing the twins to confront their trauma and ultimately decide their own paths. The episode likely culminates with a significant choice that determines the future of the Jedi Order and the direction of the series.
"
3947845,Justice,Star Wars: Tales of the Jedi,7.5,3.75,2022,10,[],"As a young Padawan, Dooku struggles with the Jedi Order's rigid code and growing disillusionment with the Republic's corruption. He witnesses firsthand the brutality and moral compromises required to maintain peace, leading him to question the Jedi's methods and ultimately planting the seeds for his future fall to the dark side.
"
3947849,Choices,Star Wars: Tales of the Jedi,7.5,3.75,2022,10,[],"In ""Practice Makes Perfect,"" Ahsoka Tano, now a young Padawan learner to Anakin Skywalker, struggles with her Jedi training. Anakin's intense and often reckless methods clash with her own careful approach. He pushes her to her limits in a simulated battle, designed to instill quick decision-making and a willingness to take risks, ultimately leading to Ahsoka's frustration and questioning of his methods.
"
3947794,Life and Death,Star Wars: Tales of the Jedi,6.5,3.25,2022,10,[],"Ahsoka Tano is born and taken by Jedi Master Plo Koon to be raised as a Jedi in the Jedi Temple. This episode serves as an origin story for Ahsoka, highlighting her early connection to the Force and Plo Koon's compassionate nature.
"
